,ids,urls,long,lat,file
0,105001000B95E200,https://s3.amazonaws.com/explorationlab/chips/19642d87daa8819947fceb4595c4ad48.jpg,-95.096444,29.845092,0
1,105001000B95E200,https://s3.amazonaws.com/explorationlab/chips/4ea9cd099e7169926823c65da872e816.jpg,-95.096374,29.84318,0
2,105001000B95E100,https://s3.amazonaws.com/explorationlab/chips/121fc674989cc47826be352a7df4cba3.jpg,-95.50155,29.760742,3020021.tif
3,105001000B95E100,https://s3.amazonaws.com/explorationlab/chips/6b922984ab02e580367cff12b8b0747b.jpg,-95.519972,29.741735,3020021.tif
4,105001000B95E100,https://s3.amazonaws.com/explorationlab/chips/d14ab7b579bf4ba0ad0dbf38cefb044d.jpg,-95.519494,29.741475,3020021.tif
5,105001000B95E100,https://s3.amazonaws.com/explorationlab/chips/35ce4e8de51f10e7f0eec02f242f85f6.jpg,-95.521941,29.748386,3020021.tif
6,105001000B95E100,https://s3.amazonaws.com/explorationlab/chips/4cf5a22b759adde25cbe2e4a06a96fdb.jpg,-95.522568,29.748596,3020021.tif
7,105001000B95E100,https://s3.amazonaws.com/explorationlab/chips/3af7f2adcaf4c3627828a004fe72fd7c.jpg,-95.522836,29.749514,3020021.tif
8,105001000B95E100,https://s3.amazonaws.com/explorationlab/chips/d106ff6f255e9684dd681d344f19a9af.jpg,-95.526211,29.746454,3020021.tif
9,105001000B95E100,https://s3.amazonaws.com/explorationlab/chips/f344271e8e1d0ba5cd43adc11ae72294.jpg,-95.52782,29.745769,3020021.tif
10,105001000B95E100,https://s3.amazonaws.com/explorationlab/chips/13170a1512f432a3da46d821f962a1c2.jpg,-95.529494,29.747623,3020021.tif
11,105001000B95E100,https://s3.amazonaws.com/explorationlab/chips/03e7faba0f268371d5a17b27a61a390c.jpg,-95.531114,29.748629,3020021.tif
12,105001000B95E100,https://s3.amazonaws.com/explorationlab/chips/84c44a9424a05f45eeac4c0df650d6fb.jpg,-95.533699,29.747637,3020021.tif
13,105001000B95E100,,-95.534729,29.747367,3020021.tif
14,105001000B95E100,,-95.536033,29.747599,3020021.tif
15,105001000B95E100,https://s3.amazonaws.com/explorationlab/chips/9631414c8996b03187a3bf1373e4d1a4.jpg,-95.534735,29.748186,3020021.tif
16,105001000B95E100,https://s3.amazonaws.com/explorationlab/chips/0c194f3060e809a9c2b092d49533af67.jpg,-95.535239,29.748228,3020021.tif
17,105001000B95E100,,-95.536564,29.748303,3020021.tif
18,105001000B95E100,https://s3.amazonaws.com/explorationlab/chips/cb84246abf8269248df11333b28e141f.jpg,-95.535909,29.746593,3020021.tif
19,105001000B95E100,https://s3.amazonaws.com/explorationlab/chips/e7e628e3dc3cfc37cb57d81e5c19abef.jpg,-95.538517,29.747851,3020020.tif
20,105001000B95E100,,-95.536205,29.748955,3020021.tif
21,105001000B95E100,,-95.535647,29.748908,3020021.tif
22,105001000B95E100,https://s3.amazonaws.com/explorationlab/chips/305751a60b4cc79da8f2774727299598.jpg,-95.53606,29.749891,3020021.tif
23,105001000B95E100,https://s3.amazonaws.com/explorationlab/chips/0eec6f6eb363f14386f09d5c8a1e354e.jpg,-95.536264,29.750394,3020021.tif
24,105001000B95E100,,-95.53894,29.749812,3020020.tif
25,105001000B95E100,https://s3.amazonaws.com/explorationlab/chips/9ba03e1f6699ca1a736f16e47862e3e6.jpg,-95.537256,29.750651,3020020.tif
26,105001000B95E100,,-95.536086,29.750548,3020021.tif
27,105001000B95E100,https://s3.amazonaws.com/explorationlab/chips/16924d60538c334ba9b91e7f5021513c.jpg,-95.537379,29.749482,3020020.tif
28,105001000B95E100,,-95.538157,29.749337,3020020.tif
29,105001000B95E100,https://s3.amazonaws.com/explorationlab/chips/d15237a29fcb1438c6879b65ee504a7f.jpg,-95.538543,29.748354,3020020.tif
30,105001000B95E100,https://s3.amazonaws.com/explorationlab/chips/c1a28259fa79a8a91c71d01092a4a793.jpg,-95.540979,29.747609,3020020.tif
31,105001000B95E100,https://s3.amazonaws.com/explorationlab/chips/65c25d388f1e8f0117346eefffe46c41.jpg,-95.541526,29.747605,3020020.tif
32,105001000B95E100,https://s3.amazonaws.com/explorationlab/chips/518889638bea5004aabe1051e7a69f66.jpg,-95.536773,29.746869,3020021.tif
33,105001000B95E100,https://s3.amazonaws.com/explorationlab/chips/0eaa1d8292a1b5df2e6e759a26c93fcf.jpg,-95.536816,29.747293,3020021.tif
34,105001000B95E200,https://s3.amazonaws.com/explorationlab/chips/e703bfac3e259f8de0080fdb946d7e37.jpg,-95.015585,29.465543,0
35,105001000B95E100,https://s3.amazonaws.com/explorationlab/chips/d194ea31d58b4c6ba7ae73ae13114834.jpg,-95.532133,29.749132,3020021.tif
